ProductID;Producto;urls3;descripcion
BF1414;Camisa Estampada ;https://productosizzyshop.s3.us-east-1.amazonaws.com/camisa1.JPG;Camiseta en algodón con estampado blanco fresco y combinable para cualquier ocasión caual.
BF2887;Zapatos Beige;https://productosizzyshop.s3.us-east-1.amazonaws.com/zapatos1.JPG;Los zapatos tienen un diseño moderno y están hechos con material transpirable, ideales para actividades deportivas o para el uso diario.
BF0103;Pantalones Claros;https://productosizzyshop.s3.us-east-1.amazonaws.com/panatalon1.JPG;vaqueros de talle alto en color azul claro con un corte recto. Los jeans tienen un diseño clásico de cinco bolsillos y están ligeramente enrollados en los puños.
BF7814;Gafas Transparentes;https://productosizzyshop.s3.us-east-1.amazonaws.com/gafas1.JPG;Gafas con una montura transparente o de color claro. Las gafas tienen una forma clásica, ligeramente cuadrada y redondeada.
BF6604;Collar Acero ;https://productosizzyshop.s3.us-east-1.amazonaws.com/collar1.JPG;Collar delicado y versatil para el dia a dia que daran un toque a tu outfit.
BF9708;Bufanda Tejida ;https://productosizzyshop.s3.us-east-1.amazonaws.com/bufanda1.JPG;Bufanda de tela con un patrón de cuadros en tonos de gris y negro. La bufanda tiene un diseño de tejido entrelazado y bordes deshilachados, lo que le da un aspecto casual y elegante.
BF2370;Falda Jean;https://productosizzyshop.s3.us-east-1.amazonaws.com/falda1.JPG;"Falda en jean con un bordado de flores  que añade un elemento decorativo y estiloso.
"
BF8063;Vestido Rojo Estampado;https://productosizzyshop.s3.us-east-1.amazonaws.com/vestido1.JPG;Vestido rojo con puntos blancos con un estilo clasico pero juvenil a su vez.
BF4831;Camisa Sin Mangas;https://productosizzyshop.s3.us-east-1.amazonaws.com/camisa2.JPG;Camiseta en algodón sin mangas muy apropiada para dias mas calorosos que permiten mayor comodidad y frescura.
BF9878;Zapatos Altos Blancos;https://productosizzyshop.s3.us-east-1.amazonaws.com/zapatos2.JPG;Zapatos tipo tenis blancos con cordones anchos comodos y versatiles.
BF1772;Pantalones Skinny Oscuro;https://productosizzyshop.s3.us-east-1.amazonaws.com/panatalon2.JPG;jeans de color gris oscuro, doblados. Los jeans tienen un bolsillo trasero visible y una etiqueta en la pretina.
BF6693;Gafas Clasicas ;https://productosizzyshop.s3.us-east-1.amazonaws.com/gafas2.JPG;Estas gafas destacan por ser un accesorio elegante y estiloso de una marca de diseñador reconocida, combinando diseño estético e identidad de marca.
BF3942;Collar Perlas;https://productosizzyshop.s3.us-east-1.amazonaws.com/collar2.JPG;Collar tipo perlas sofisticado que daran un toque de elegancia a tu estilo.
BF0060;Bufanda Rayas;https://productosizzyshop.s3.us-east-1.amazonaws.com/bufanda2.JPG;La bufanda presenta un elegante diseño suave y ligera lo que la hace cómoda y adecuada para el uso diario. Perfecta para darle un toque de estilo a cualquier atuendo.
BF2152;Falda Estampada Flores;https://productosizzyshop.s3.us-east-1.amazonaws.com/falda2.JPG;falda roja con flores subliminadas de talle alto y corta.
BF6975;Vestido Cinturon;https://productosizzyshop.s3.us-east-1.amazonaws.com/vestido2.JPG;Vesdido color mostaza con un cinturon que le da un toque delicado.
BF8238;Camisa Estampada B/W;https://productosizzyshop.s3.us-east-1.amazonaws.com/camisa+3.JPG;Camiseta en algodón con estampado de color con un contraste que crean una sinergia perfecta.
BF0809;Zapatos Multicolor;https://productosizzyshop.s3.us-east-1.amazonaws.com/zapatos3.JPG;zapatos con una combinacion de colores perfecta y comodos para el dia a dia.
BF1681;Pantalones Bota Ancha;https://productosizzyshop.s3.us-east-1.amazonaws.com/pantalon3.JPG;jeans de mezclilla azul con cintura alta y piernas anchas. Los jeans tienen dos grandes bolsillos frontales y un cierre de botón con cremallera.
BF6885;Gafas Rosados;https://productosizzyshop.s3.us-east-1.amazonaws.com/gafas3.JPG;gafas de sol redondas con lentes de color rosa. La montura es metálica, con un puente y patillas delgadas. Las lentes rosas le dan a las gafas un aspecto elegante y moderno.
BF5238;Collar Choker;https://productosizzyshop.s3.us-east-1.amazonaws.com/collar3.JPG;Collar tipo choker atrevido y perfecto para complementar tu estilo.
BF6167;Bufanda Tejida Beige;https://productosizzyshop.s3.us-east-1.amazonaws.com/bufanda3.JPG;Bufanda tejida perfecta para dias frios con un diseño muy versatil que permitira su uso diario.
BF9724;Falda Cuero;https://productosizzyshop.s3.us-east-1.amazonaws.com/falda3.JPG;Falda tipo cuero cintura alta y presenta pliegues que añaden volumen a la prenda.
BF9289;Vestido Flores;https://productosizzyshop.s3.us-east-1.amazonaws.com/vestido3.JPG;Vestido florecido con una combinacion de colores perfecta.
